GreCon,20800,4890,2142,1254,955,414,354,240,232,72,64,64,44,32,28,24,24,24,22,20,18,16,16,16,16,15,12,11,11,10,9,7,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
GreConD,20800,4890,2142,1254,955,414,354,240,232,64,72,64,44,32,28,24,24,24,22,20,18,16,16,16,15,11,12,16,11,9,6,5,10,5,5,4,4,4,5,4,3,3,3,3,3,3,7,4,2,4,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1
